area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","D","P3","_Z","_Z","2013","2916831","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2014","2992953","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2015","3117861","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2016","3257196","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2017","3485296","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2018","3738833","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2019","3988711","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2020","3994046","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2021","4298703","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2022","4805146","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S1","D","P3","_Z","_Z","2023","5103223","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2013","2066693","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2014","2118478","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2015","2207664","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2016","2309367","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2017","2483017","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2018","2640260","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2019","2798916","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2020","2691926","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2021","2921089","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2022","3358430","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S14","D","P3","_Z","_Z","2023","3529493","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S13","D","P3","_Z","_Z","2013","822342","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S13","D","P3","_Z","_Z","2014","845563","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S13","D","P3","_Z","_Z","2015","880166","CZK","6","V","_Z","_Z","N","II41uP.3"
"CZ","S13","D","P3","_Z","_Z","2016","915004","CZK","6","V","_Z","_Z","N","II41uP.3"
